term,best_rank,worst_rank,median_rank,months_present,first_month,last_month,trend_ratio,is_category,months_on_list
christmas earrings for women,1900.0,130502.0,17543.5,4,2025-09,2025-12,,True,2025-09;2025-10;2025-11;2025-12
hanukkah candles,1901.0,151860.0,39050.0,4,2025-01,2025-12,,False,2025-01;2025-10;2025-11;2025-12
princess peach costume adult,1904.0,184574.0,32075.0,4,2025-08,2025-11,,False,2025-08;2025-09;2025-10;2025-11
mens stocking stuffers 2025,1905.0,67653.0,8095.0,3,2025-10,2025-12,,False,2025-10;2025-11;2025-12
colored pencils 12 count,1922.0,167413.0,25698.5,4,2025-06,2025-09,,False,2025-06;2025-07;2025-08;2025-09
five nights at freddy's 2,1927.0,1927.0,1927.0,1,2025-12,2025-12,,False,2025-12
mens christmas gifts,1936.0,92802.0,12569.5,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
leprechaun trap,1944.0,11684.0,6814.0,2,2025-02,2025-03,,False,2025-02;2025-03
toddler stocking stuffers,1957.0,113774.0,13574.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
freedom t shirt,1967.0,190552.0,79756.5,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
miracle on 34th street,1975.0,6840.0,4407.5,2,2025-11,2025-12,,False,2025-11;2025-12
arbutin cream,1988.0,183564.0,56214.5,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
wednesday addams costume women,1990.0,75215.0,9272.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
women jeans deals,1993.0,33551.0,17772.0,2,2025-09,2025-10,,False,2025-09;2025-10
the couple nextdoor,1994.0,7308.0,4651.0,2,2025-01,2025-02,,False,2025-01;2025-02
halloween shirt,1995.0,71929.0,15028.0,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
valentines sweater women,1996.0,103732.0,2670.0,3,2025-01,2025-12,,False,2025-01;2025-02;2025-12
fantasy football draft board 2025,2004.0,13918.0,7961.0,2,2025-07,2025-08,,False,2025-07;2025-08
valentines day cards,2028.0,80026.0,4301.0,3,2025-01,2025-12,,False,2025-01;2025-02;2025-12
159 capsules,2036.0,2036.0,2036.0,1,2025-09,2025-09,,False,2025-09
oscillococcinum flu medicine,2037.0,26181.0,6063.0,3,2025-01,2025-03,,False,2025-01;2025-02;2025-03
mothers day gifts for daughter,2042.0,9300.0,5671.0,2,2025-04,2025-05,,False,2025-04;2025-05
embroidery stitch book,2050.0,65381.0,21764.0,3,2025-10,2025-12,,False,2025-10;2025-11;2025-12
scary halloween costumes,2051.0,135654.0,21565.0,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
chocolate advent calendar 2025,2052.0,45391.0,10800.5,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
easter baskets for kids,2058.0,29957.0,8267.0,3,2025-02,2025-04,,False,2025-02;2025-03;2025-04
cute white elephant christmas gifts,2059.0,116837.0,71170.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
ricky bobby costume,2059.0,101098.0,20635.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
womens christmas sweater,2065.0,44863.0,6012.0,3,2025-10,2025-12,,False,2025-10;2025-11;2025-12
liver cleanse drops,2067.0,2067.0,2067.0,1,2025-09,2025-09,,False,2025-09
slimming dress,2068.0,31194.0,4817.0,4,2025-08,2025-11,,False,2025-08;2025-09;2025-10;2025-11
gifts for golfers,2070.0,24339.0,5653.0,3,2025-10,2025-12,,False,2025-10;2025-11;2025-12
apple airpods pro 3,2072.0,3633.0,3272.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
easter gifts for kids,2080.0,174489.0,16648.5,4,2025-01,2025-04,,False,2025-01;2025-02;2025-03;2025-04
mom christmas gifts,2124.0,72940.0,6071.0,3,2025-10,2025-12,,False,2025-10;2025-11;2025-12
cat woman costume outfit for women,2137.0,79722.0,25150.5,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
halloween sweaters for women,2143.0,106790.0,13532.0,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
pop culture jepordy,2154.0,187936.0,2663.0,3,2025-01,2025-03,,False,2025-01;2025-02;2025-03
prefilled easter eggs with toys,2154.0,33797.0,4600.0,3,2025-02,2025-04,,False,2025-02;2025-03;2025-04
skeleton costume women,2156.0,164762.0,20784.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
freddy krueger costume women,2168.0,76727.0,15363.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
skylight calendars,2172.0,125111.0,8318.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
valentines day gifts for women,2173.0,2742.0,2457.5,2,2025-01,2025-02,,False,2025-01;2025-02
chespirito: not really on purpose,2177.0,160127.0,14010.0,4,2025-06,2025-09,,False,2025-06;2025-07;2025-08;2025-09
best selling fall wedding guest dress,2190.0,15603.0,14366.0,3,2025-09,2025-11,,False,2025-09;2025-10;2025-11
halloween earrings,2191.0,75949.0,12148.0,4,2025-07,2025-10,,True,2025-07;2025-08;2025-09;2025-10
mario costume adult,2193.0,107650.0,17597.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
black fridays deals today,2200.0,2200.0,2200.0,1,2025-11,2025-11,,False,2025-11
halloween treats,2219.0,73727.0,10803.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
black cherry owala,2225.0,16312.0,4850.0,3,2025-10,2025-12,,False,2025-10;2025-11;2025-12
kids magnesium liquid,2234.0,12676.0,3607.5,4,2025-08,2025-11,,False,2025-08;2025-09;2025-10;2025-11
christmas card,2235.0,95460.0,54690.5,4,2025-01,2025-12,,False,2025-01;2025-10;2025-11;2025-12
easter bunny costume adult,2236.0,76277.0,15518.0,4,2025-01,2025-04,,False,2025-01;2025-02;2025-03;2025-04
zoey kpop demon hunters costume,2250.0,168517.0,21911.5,4,2025-08,2025-11,,False,2025-08;2025-09;2025-10;2025-11
turkey injector,2253.0,105688.0,46671.0,3,2025-10,2025-12,,False,2025-10;2025-11;2025-12
welcome to derry.,2254.0,78095.0,75501.0,3,2025-10,2025-12,,False,2025-10;2025-11;2025-12
die hard (4k uhd),2257.0,90637.0,81848.0,3,2025-01,2025-12,,False,2025-01;2025-11;2025-12
sleds for snow,2259.0,195394.0,53555.0,4,2025-01,2025-12,,False,2025-01;2025-02;2025-03;2025-12
aquarium heaters,2260.0,38374.0,12327.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
valentines cards,2264.0,5376.0,3820.0,2,2025-01,2025-02,,False,2025-01;2025-02
turbotax 2024 premier,2271.0,17076.0,5136.0,4,2025-01,2025-04,,False,2025-01;2025-02;2025-03;2025-04
st patricks day shirt,2271.0,141043.0,13302.0,3,2025-01,2025-03,,False,2025-01;2025-02;2025-03
both eyes open,2277.0,118139.0,30379.5,4,2025-04,2025-07,,False,2025-04;2025-05;2025-06;2025-07
halloween basket,2284.0,169331.0,20241.5,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
top gadgets for bakers,2289.0,15912.0,9100.5,2,2025-10,2025-11,,False,2025-10;2025-11
woody costume adult,2290.0,198317.0,40696.0,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
fathers day gift,2292.0,14594.0,8443.0,2,2025-05,2025-06,,False,2025-05;2025-06
breast cancer awareness shirt,2297.0,93637.0,7732.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
wired headphones for school,2297.0,26427.0,22180.0,3,2025-07,2025-09,,False,2025-07;2025-08;2025-09
elf on the shelf kit,2303.0,62684.0,12322.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
boston blue,2322.0,4388.0,2568.0,3,2025-10,2025-12,,False,2025-10;2025-11;2025-12
mardi gras shirts for women,2328.0,118656.0,21182.0,4,2025-01,2025-12,,False,2025-01;2025-02;2025-03;2025-12
fall deals,2331.0,43390.0,12114.0,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
halloween pajamas,2332.0,56364.0,10527.0,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
valentines decor,2332.0,17572.0,7164.0,3,2025-01,2025-12,,False,2025-01;2025-02;2025-12
grandma mothers day gift,2342.0,21360.0,11851.0,2,2025-04,2025-05,,False,2025-04;2025-05
macerator pump,2357.0,8434.0,5958.0,3,2025-01,2025-03,,False,2025-01;2025-02;2025-03
airpod pro 3 case,2364.0,6264.0,3822.5,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
halloween cookie cutters,2365.0,104976.0,15866.5,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
easter egg stuffers,2376.0,47556.0,6870.0,3,2025-02,2025-04,,False,2025-02;2025-03;2025-04
easter outfit women,2379.0,87063.0,12868.0,3,2025-02,2025-04,,False,2025-02;2025-03;2025-04
backpacks for teachers,2391.0,27173.0,14782.0,2,2025-07,2025-08,,False,2025-07;2025-08
halloween costumes for boys,2391.0,71741.0,10344.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
easter dresses for women 2025,2396.0,124735.0,14871.0,3,2025-02,2025-04,,False,2025-02;2025-03;2025-04
sheriff country,2409.0,3700.0,3281.0,3,2025-10,2025-12,,False,2025-10;2025-11;2025-12
starbucks bear cup,2411.0,21631.0,12021.0,2,2025-11,2025-12,,False,2025-11;2025-12
outdoor christmas decor,2418.0,96008.0,16532.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
chipmunk ears,2424.0,130591.0,25241.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
halloween wreath,2428.0,47467.0,8205.5,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
halloween bags,2429.0,58332.0,10641.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
apple watch se 3,2430.0,14156.0,5798.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
akkermansia+probiotic,2431.0,2431.0,2431.0,1,2025-01,2025-01,,False,2025-01
ramadan decorations for home,2436.0,138242.0,25708.0,4,2025-01,2025-12,,False,2025-01;2025-02;2025-03;2025-12
magnesium drops for kids,2439.0,2439.0,2439.0,1,2025-11,2025-11,,False,2025-11
thank my driver,2461.0,149634.0,76047.5,2,2025-01,2025-12,,False,2025-01;2025-12
superman (2025),2463.0,45172.0,23817.5,2,2025-08,2025-09,,False,2025-08;2025-09
halloween sale clearance,2465.0,90215.0,13734.5,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
the santa clause,2476.0,141101.0,56222.0,4,2025-01,2025-12,,False,2025-01;2025-10;2025-11;2025-12
lorax costume women,2477.0,98258.0,51600.5,4,2025-08,2025-11,,False,2025-08;2025-09;2025-10;2025-11
christmas rug,2483.0,76074.0,13984.5,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
dad christmas gifts,2483.0,92807.0,10189.0,3,2025-10,2025-12,,False,2025-10;2025-11;2025-12
halloween candy bowl,2486.0,115258.0,18066.0,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
f1® the movie,2487.0,6190.0,3301.5,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
st patricks day shirt men,2489.0,182459.0,17398.0,3,2025-01,2025-03,,False,2025-01;2025-02;2025-03
st patricks day,2493.0,55846.0,5770.0,3,2025-01,2025-03,,False,2025-01;2025-02;2025-03
jason voorhees costume,2493.0,66379.0,15466.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
code 3,2497.0,12781.0,4483.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
cleopatra costume women,2509.0,84421.0,13389.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
boxbollen game,2510.0,90378.0,17426.0,4,2025-01,2025-12,,False,2025-01;2025-02;2025-11;2025-12
epson c9345 maintenance box,2515.0,23608.0,13061.5,2,2025-05,2025-06,,False,2025-05;2025-06
the lost bus,2524.0,40966.0,14472.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
a charlie brown thanksgiving,2525.0,65440.0,33982.5,2,2025-11,2025-12,,False,2025-11;2025-12
deer costume,2526.0,170674.0,71202.5,4,2025-08,2025-11,,False,2025-08;2025-09;2025-10;2025-11
halloween backdrop,2527.0,122004.0,23736.5,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
fall tunics for women,2530.0,2530.0,2530.0,1,2025-10,2025-10,,False,2025-10
winnie the pooh costume,2540.0,194943.0,44435.5,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
christmas plates,2541.0,120688.0,22844.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
c9345,2544.0,23210.0,12877.0,2,2025-05,2025-06,,False,2025-05;2025-06
100 days of school costume,2552.0,5140.0,3846.0,2,2025-01,2025-02,,False,2025-01;2025-02
heated rivalry book,2557.0,20422.0,11489.5,2,2025-11,2025-12,,False,2025-11;2025-12
joker costume men,2557.0,137954.0,16396.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
bridget jones diary,2560.0,115700.0,14504.0,3,2025-01,2025-03,,False,2025-01;2025-02;2025-03
christmas pillow covers 20x20,2567.0,90443.0,18020.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
christmas paper plates,2571.0,165104.0,32537.5,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
winter rompers for women,2572.0,59783.0,31177.5,2,2025-11,2025-12,,False,2025-11;2025-12
valentines day card,2577.0,21663.0,13168.0,3,2025-01,2025-12,,False,2025-01;2025-02;2025-12
holiday gift,2582.0,26075.0,9918.5,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
epson maintenance box c9345,2587.0,23547.0,13067.0,2,2025-05,2025-06,,False,2025-05;2025-06
harley quinn costume adult,2591.0,135492.0,24587.0,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
girls easter dress,2594.0,168199.0,19170.5,4,2025-01,2025-04,,False,2025-01;2025-02;2025-03;2025-04
christmas nails,2601.0,123692.0,24136.5,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
halloween garland,2609.0,38381.0,6835.0,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
christmas projector lights outdoor,2611.0,144830.0,18384.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
colored pencils 24 count,2612.0,48287.0,9880.0,3,2025-07,2025-09,,False,2025-07;2025-08;2025-09
lynley,2614.0,55014.0,20846.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
fall anthropologie clothes,2619.0,189395.0,4424.5,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
how to loose a guy in 10 days,2620.0,2833.0,2726.5,2,2025-01,2025-02,,False,2025-01;2025-02
adult costumes for women,2623.0,127420.0,23469.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
thanksgiving table runner,2635.0,55143.0,17365.0,3,2025-09,2025-11,,False,2025-09;2025-10;2025-11
fish tank heaters,2642.0,23494.0,11750.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
aritzia dupes,2646.0,14351.0,8498.5,2,2025-11,2025-12,,False,2025-11;2025-12
teen easter basket stuffers,2646.0,121086.0,12032.0,3,2025-02,2025-04,,False,2025-02;2025-03;2025-04
scream costume,2646.0,89698.0,21560.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
demon hunter gifts,2648.0,8566.0,6000.5,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
amazon gift card christmas,2653.0,128238.0,40235.5,4,2025-01,2025-12,,False,2025-01;2025-10;2025-11;2025-12
black phone 2,2658.0,10847.0,9358.0,3,2025-10,2025-12,,False,2025-10;2025-11;2025-12
monkey costume,2659.0,146855.0,51691.5,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
christmas tree star,2659.0,183936.0,31482.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
age of disclosure,2661.0,199402.0,60588.5,4,2025-03,2025-12,,False,2025-03;2025-10;2025-11;2025-12
apple watch 11,2666.0,9508.0,6154.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
easter basket stuffers for toddler,2669.0,14002.0,3457.0,3,2025-02,2025-04,,False,2025-02;2025-03;2025-04
sweat absorbing lotion,2671.0,12826.0,7748.5,2,2025-06,2025-10,,False,2025-06;2025-10
easter eggs empty,2678.0,60540.0,10002.0,3,2025-02,2025-04,,False,2025-02;2025-03;2025-04
womens easter dress 2025,2682.0,43078.0,6875.0,3,2025-02,2025-04,,False,2025-02;2025-03;2025-04
altitude sickness prevention patches,2687.0,79428.0,27296.5,4,2025-02,2025-11,,False,2025-02;2025-03;2025-05;2025-11
sustain me book barbara o'neill 2024,2689.0,21342.0,6464.0,4,2025-01,2025-04,,False,2025-01;2025-02;2025-03;2025-04
pottery barn christmas decor,2694.0,2694.0,2694.0,1,2025-11,2025-11,,False,2025-11
snoop on the stoop,2698.0,84026.0,5771.0,3,2025-10,2025-12,,False,2025-10;2025-11;2025-12
halloween sprinkles,2704.0,171952.0,30597.0,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
toddler easter basket stuffers,2713.0,23194.0,5128.0,3,2025-02,2025-04,,False,2025-02;2025-03;2025-04
easter gifts,2714.0,194068.0,21285.0,4,2025-01,2025-04,,False,2025-01;2025-02;2025-03;2025-04
halloween window clings,2716.0,82411.0,9497.0,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
hello kitty valentines,2718.0,6107.0,4412.5,2,2025-01,2025-02,,False,2025-01;2025-02
christmas headbands for women,2720.0,59571.0,8201.0,3,2025-10,2025-12,,False,2025-10;2025-11;2025-12
halloween sweatshirt,2722.0,133398.0,21970.0,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
boxbollen boxing ball,2730.0,32988.0,17859.0,2,2025-11,2025-12,,False,2025-11;2025-12
halloween balloons,2738.0,151473.0,36226.5,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
christmas headband,2744.0,195353.0,37322.0,4,2025-07,2025-12,,False,2025-07;2025-10;2025-11;2025-12
usb3.0 hub,2756.0,30981.0,16868.5,2,2025-02,2025-03,,False,2025-02;2025-03
kindergarten graduation cap and gown,2761.0,93480.0,16708.0,4,2025-03,2025-06,,False,2025-03;2025-04;2025-05;2025-06
sexy halloween costumes for women adult,2762.0,160627.0,48073.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
clown costume women,2766.0,64834.0,16040.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
chief of war jason momoa,2768.0,52802.0,27785.0,2,2025-08,2025-09,,False,2025-08;2025-09
dji neo 2,2775.0,103315.0,5025.0,3,2025-10,2025-12,,False,2025-10;2025-11;2025-12
pens for school,2777.0,110411.0,26668.0,4,2025-06,2025-09,,False,2025-06;2025-07;2025-08;2025-09
christmas shirts,2780.0,103803.0,14337.5,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
black history shirts for women,2781.0,25526.0,14153.5,2,2025-01,2025-02,,False,2025-01;2025-02
race car driver costume women,2784.0,129218.0,21564.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
snoring strips men,2784.0,2784.0,2784.0,1,2025-12,2025-12,,False,2025-12
henry danger the movie,2787.0,26908.0,14847.5,2,2025-01,2025-02,,False,2025-01;2025-02
chocolate bunny,2790.0,129150.0,18531.0,3,2025-02,2025-04,,False,2025-02;2025-03;2025-04
kindergarten graduation gifts,2800.0,31080.0,12635.0,3,2025-04,2025-06,,False,2025-04;2025-05;2025-06
witch hats for women,2800.0,72783.0,17562.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
ladybug wings,2803.0,151996.0,45835.5,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
toddler girl halloween costume,2807.0,173300.0,25356.5,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
santa hats adult,2808.0,82403.0,10050.0,3,2025-10,2025-12,,False,2025-10;2025-11;2025-12
quiet luxury clothes,2809.0,107740.0,19055.0,4,2025-08,2025-11,,False,2025-08;2025-09;2025-10;2025-11
easter dresses for girls,2810.0,68842.0,9433.0,4,2025-01,2025-04,,False,2025-01;2025-02;2025-03;2025-04
the mortician,2812.0,149569.0,55867.0,4,2025-06,2025-09,,False,2025-06;2025-07;2025-08;2025-09
ugly sweater christmas women,2812.0,173967.0,20218.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
67 wrapping paper,2816.0,27976.0,4550.0,3,2025-10,2025-12,,False,2025-10;2025-11;2025-12
visa gift card ?,2816.0,3819.0,3442.5,4,2025-01,2025-07,,False,2025-01;2025-02;2025-03;2025-07
halloween nails,2818.0,115347.0,14843.5,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
valentines pajamas for women,2818.0,131663.0,2881.0,3,2025-01,2025-12,,False,2025-01;2025-02;2025-12
christmas hat,2821.0,166582.0,41157.5,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
mike wazowski costume,2824.0,109127.0,28761.5,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
witch costume for girls,2840.0,57766.0,9763.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
dog christmas gifts,2843.0,82209.0,10716.0,3,2025-10,2025-12,,False,2025-10;2025-11;2025-12
gifts for mom christmas,2857.0,37960.0,20408.5,2,2025-11,2025-12,,False,2025-11;2025-12
valentine cards for kids classroom,2863.0,10247.0,6555.0,2,2025-01,2025-02,,False,2025-01;2025-02
halloween gifts,2866.0,111207.0,16461.0,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
halloween headband,2867.0,89121.0,23512.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
scrooged,2873.0,116856.0,20438.0,3,2025-01,2025-12,,False,2025-01;2025-11;2025-12
potassium drops,2873.0,59959.0,10693.0,3,2025-01,2025-04,,False,2025-01;2025-02;2025-04
chocolate brown fall clothing,2876.0,13223.0,9674.0,3,2025-09,2025-11,,False,2025-09;2025-10;2025-11
"onyx storm deluxe limited edition the empyrean, 3",2896.0,37517.0,20206.5,2,2025-01,2025-02,,False,2025-01;2025-02
toddler valentines day gifts,2902.0,11845.0,7373.5,2,2025-01,2025-02,,False,2025-01;2025-02
secret santa gifts,2903.0,115505.0,7919.0,3,2025-10,2025-12,,False,2025-10;2025-11;2025-12
us olay,2903.0,77444.0,10319.0,3,2025-07,2025-09,,False,2025-07;2025-08;2025-09
sewing ogranizers,2908.0,2908.0,2908.0,1,2025-11,2025-11,,False,2025-11
ugly sweater men,2914.0,50548.0,5806.0,3,2025-10,2025-12,,False,2025-10;2025-11;2025-12
arthur christmas,2919.0,101689.0,10132.0,3,2025-01,2025-12,,False,2025-01;2025-11;2025-12
terrifier costume,2924.0,85774.0,20701.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
pain relieving gel,2928.0,2928.0,2928.0,1,2025-05,2025-05,,False,2025-05
valentines gifts for him,2928.0,24327.0,3419.0,3,2025-01,2025-12,,False,2025-01;2025-02;2025-12
white elephant gift ideas,2933.0,190313.0,10253.0,3,2025-01,2025-12,,False,2025-01;2025-11;2025-12
chocolate easter bunny,2941.0,31397.0,17169.0,2,2025-03,2025-04,,False,2025-03;2025-04
pimp costume,2941.0,153250.0,32105.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
christmas pjs women,2962.0,138137.0,22117.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
wednesday addams costume,2964.0,86581.0,5835.0,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
tankini deals for retired women,2966.0,22323.0,10422.0,4,2025-05,2025-08,,False,2025-05;2025-06;2025-07;2025-08
advent candles,2969.0,155738.0,36855.5,4,2025-01,2025-12,,False,2025-01;2025-10;2025-11;2025-12
mighty nein,2970.0,72887.0,4993.0,3,2025-10,2025-12,,False,2025-10;2025-11;2025-12
halloween snacks,2979.0,49221.0,8178.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
turkey brine,2980.0,64242.0,49891.0,3,2025-10,2025-12,,False,2025-10;2025-11;2025-12
fog machine outdoor,2982.0,131353.0,29085.0,4,2025-08,2025-11,,False,2025-08;2025-09;2025-10;2025-11
christmas press on nails,2982.0,118994.0,24305.5,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
christmas light clips,2984.0,88637.0,23444.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
sarah's oil,2987.0,109712.0,56349.5,2,2025-11,2025-12,,False,2025-11;2025-12
press on nails for women,2989.0,175855.0,16103.0,3,2025-01,2025-03,,False,2025-01;2025-02;2025-03
trick or treat bags,2995.0,120897.0,20496.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
disfraz de halloween para niñas,2998.0,19860.0,11429.0,2,2025-09,2025-10,,False,2025-09;2025-10
notes on being a man,3001.0,71213.0,15615.0,3,2025-04,2025-12,,False,2025-04;2025-11;2025-12
balloonerism,3001.0,80779.0,17318.0,3,2025-01,2025-03,,False,2025-01;2025-02;2025-03
airpod pro 3,3008.0,6853.0,4467.5,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
corduroy dresses,3032.0,78112.0,40572.0,2,2025-11,2025-12,,False,2025-11;2025-12
plus size costumes for women,3040.0,99918.0,17629.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
halloween music,3043.0,65976.0,34509.5,2,2025-09,2025-10,,False,2025-09;2025-10
turning point usa shirt,3046.0,199317.0,35133.0,3,2025-09,2025-11,,False,2025-09;2025-10;2025-11
swim suits for women 2024,3053.0,185076.0,94064.5,2,2025-01,2025-02,,False,2025-01;2025-02
pumpkin carving tools,3062.0,28184.0,15623.0,2,2025-09,2025-10,,False,2025-09;2025-10
scissors for school,3064.0,90201.0,34856.0,4,2025-06,2025-09,,False,2025-06;2025-07;2025-08;2025-09
spigen iphone 17 pro max case,3072.0,10975.0,6415.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
womens stocking stuffers,3080.0,96646.0,9728.0,3,2025-10,2025-12,,False,2025-10;2025-11;2025-12
cookie monster costume,3084.0,157097.0,31935.0,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
christmas door decorations,3087.0,118514.0,18162.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
