term,best_rank,worst_rank,median_rank,months_present,first_month,last_month,trend_ratio,is_category
dupahiya,3092.0,121130.0,35213.0,5,2025-03,2025-07,,False
mothers day decorations,3108.0,158742.0,40626.0,4,2025-02,2025-05,,False
silicone scar sheet,3124.0,3124.0,3124.0,1,2025-04,2025-04,,False
plus size tankinis,3125.0,183536.0,87478.0,5,2025-04,2025-08,,False
mochilas escolares para ni?as,3147.0,33995.0,24681.0,4,2025-01,2025-07,,False
grow lights for seed starting,3150.0,62190.0,10203.0,5,2025-01,2025-05,,False
valentines day outfit women,3151.0,84500.0,4049.0,3,2025-01,2025-12,,False
new years decorations,3170.0,104353.0,67201.0,3,2025-01,2025-12,,False
misters for outside patio,3173.0,127958.0,16003.0,7,2025-03,2025-09,0.5648582824467897,False
sprinkler for kids,3177.0,174059.0,14667.0,7,2025-02,2025-08,0.2572143405453046,False
father's day gift ideas,3183.0,13485.0,8334.0,2,2025-05,2025-06,,False
plus size winter clothes for women,3195.0,160692.0,18612.0,5,2025-02,2025-11,,False
graduation gifts for him,3201.0,109734.0,20277.0,5,2025-03,2025-12,,False
easter decorations for home,3212.0,66131.0,6410.0,4,2025-01,2025-04,,False
w10295370a water filter,3227.0,120394.0,13397.0,3,2025-01,2025-03,,False
nda supplement,3242.0,158099.0,88459.0,6,2025-01,2025-06,0.2046454304133485,False
kelly bag,3248.0,165152.0,98695.0,9,2025-01,2025-12,5.00532865907099,False
cma award,3249.0,63445.0,33347.0,2,2025-05,2025-06,,False
mr and ms smith,3251.0,4865.0,4058.0,2,2025-01,2025-02,,False
freeze miser,3254.0,118311.0,25576.0,5,2025-01,2025-12,,False
chinese new year decorations 2025,3261.0,104350.0,53805.5,2,2025-01,2025-02,,False
bunny pal,3262.0,32104.0,17683.0,2,2025-03,2025-04,,False
pet safe ice melt,3278.0,47600.0,7166.0,4,2025-01,2025-12,,False
heavy duty hose,3288.0,186044.0,66814.0,6,2025-03,2025-08,0.17141396706398299,False
above ground pools,3289.0,103960.0,14435.0,9,2025-01,2025-09,0.9609512929691557,False
best selling maxi dresses,3295.0,72992.0,14647.0,5,2025-05,2025-09,,False
valentines for kids classroom,3297.0,4358.0,3827.5,2,2025-01,2025-02,,False
bunny realistic bunny,3302.0,67465.0,10949.0,3,2025-02,2025-04,,False
sleep patches for adults extra strength,3305.0,40883.0,30425.0,3,2025-01,2025-04,,False
gongi,3311.0,160096.0,27320.0,4,2025-01,2025-07,,False
white elephant,3317.0,180035.0,15766.0,3,2025-01,2025-12,,False
rakhi,3318.0,170281.0,5205.0,3,2025-06,2025-08,,False
valentines chocolate,3352.0,19338.0,11345.0,2,2025-01,2025-02,,False
air conditioner for bedroom,3362.0,87001.0,16486.0,7,2025-03,2025-09,1.07206114278782,False
solar powered fan hat,3364.0,127317.0,35127.0,5,2025-04,2025-08,,False
bhool chuk maaf,3365.0,197958.0,61252.0,3,2025-06,2025-08,,False
easter candy individually wrapped,3369.0,95807.0,7977.0,3,2025-02,2025-04,,False
mother's day,3370.0,190157.0,128155.0,7,2025-01,2025-10,0.9858152755021192,False
funny white elephant gifts,3377.0,163850.0,17504.0,3,2025-01,2025-12,,False
centella moisturizer phytocin cream,3378.0,3572.0,3475.0,2,2025-06,2025-07,,False
baby float with canopy,3383.0,168685.0,30003.0,9,2025-01,2025-09,0.2245553267178431,False
dorm storage,3384.0,165803.0,83397.0,9,2025-01,2025-09,0.06638393160073285,False
wrap skorts,3389.0,15156.0,12302.0,3,2025-06,2025-08,,False
rig,3402.0,153737.0,33807.0,6,2025-01,2025-06,7.089605110336818,False
spring decor,3409.0,107073.0,20131.0,7,2025-01,2025-12,19.584778959149414,False
kids snow gloves,3410.0,131428.0,19229.5,6,2025-01,2025-12,1.3545365495285906,False
linen clothes for seniors,3410.0,95781.0,5341.0,3,2025-05,2025-07,,False
mr. and mrs. smith,3423.0,45501.0,11021.0,8,2025-01,2025-08,0.2821973307912297,False
the divorce insurance,3445.0,129742.0,61022.5,6,2025-03,2025-08,3.8807928400730987,False
organic beef tallow for skin,3456.0,155495.0,71250.5,8,2025-01,2025-08,2.1784814830106107,False
realistic bunny,3470.0,36513.0,11511.0,3,2025-02,2025-04,,False
valentines day cards for him,3489.0,28410.0,26654.0,3,2025-01,2025-12,,False
fathers day gifts from daughter,3496.0,15685.0,9590.5,2,2025-05,2025-06,,False
climbing rose seeds,3501.0,170961.0,86619.0,9,2025-01,2025-09,3.243272698450442,False
2025 calendar wall,3503.0,184050.0,51975.0,9,2025-01,2025-09,5.5609057264515105,False
pre filled easter eggs,3507.0,101488.0,7962.0,3,2025-02,2025-04,,False
alligator alcatraz shirt,3509.0,174563.0,92312.5,4,2025-06,2025-09,,False
purposeful performance book,3514.0,185821.0,21528.0,3,2025-03,2025-05,,False
spring fashion,3517.0,41721.0,4812.0,3,2025-02,2025-04,,False
memorial day decorations,3526.0,127693.0,11850.0,3,2025-03,2025-05,,False
pool ladder above ground,3530.0,167452.0,27878.5,8,2025-02,2025-09,1.1070147679324895,False
phantom hd carlton,3533.0,131992.0,80565.0,9,2025-01,2025-09,8.945911413969336,False
alien draft seal tape for doors,3547.0,57023.0,25981.0,5,2025-01,2025-12,,False
venom: the last dance - bonus x-ray edition,3548.0,144212.0,34940.0,7,2025-01,2025-07,15.658577562068322,False
dog booties for winter,3556.0,82218.0,17165.5,4,2025-01,2025-12,,False
vestidos de verano para mujer 2025,3560.0,78673.0,6878.0,8,2025-02,2025-09,0.7472306143001007,False
bitter spray for dogs to stop chewing,3563.0,51944.0,50627.0,3,2025-01,2025-05,,False
how we learn to be brave,3570.0,182462.0,84207.0,4,2025-01,2025-04,,False
casual summer dresses for women,3581.0,81473.0,9996.0,9,2025-01,2025-09,0.21771611526147278,False
khauf,3582.0,130652.0,44208.0,5,2025-04,2025-08,,False
kindle paperwhite 2024 case,3584.0,175970.0,11929.0,5,2025-01,2025-05,,False
cherry pitter tool,3598.0,147543.0,37221.0,6,2025-01,2025-09,0.13169856641177274,False
spring+tops+for+women,3602.0,74040.0,14646.0,4,2025-02,2025-05,,False
pool accessories for above pools,3608.0,71690.0,18519.0,6,2025-03,2025-08,0.25194616224081484,False
valentines decorations,3628.0,44540.0,4167.0,3,2025-01,2025-12,,False
christmas with the kranks,3640.0,141638.0,55001.5,4,2025-01,2025-12,,False
graduation cords,3642.0,130230.0,34023.5,6,2025-01,2025-06,0.17346611454566663,False
easter grass,3643.0,54657.0,11754.0,3,2025-02,2025-04,,False
lipozem capsulas,3650.0,35098.0,18323.5,4,2025-01,2025-04,,False
hawaiian tropic after sun lotion,3652.0,140063.0,10680.0,9,2025-01,2025-09,1.4787549234898394,False
supreme cream with brush,3654.0,29218.0,16436.0,2,2025-04,2025-05,,False
micky 17,3664.0,185637.0,32987.5,4,2025-03,2025-06,,False
true beauty glow facial massager,3665.0,97761.0,22123.0,4,2025-01,2025-04,,False
planner 2025,3666.0,175733.0,46359.5,8,2025-01,2025-09,6.644132547130637,False
first communion gifts for girls,3670.0,155823.0,35932.0,5,2025-02,2025-06,,False
baby easter basket stuffers,3671.0,25055.0,5892.0,3,2025-02,2025-04,,False
valentine cards,3672.0,60753.0,5468.0,3,2025-01,2025-12,,False
grammys,3674.0,3674.0,3674.0,1,2025-02,2025-02,,False
mens gloves for cold weather,3698.0,159311.0,16231.0,6,2025-01,2025-12,0.6382538480948776,False
reeses peanut butter eggs,3711.0,179655.0,38130.0,4,2025-03,2025-06,,False
bath sets for women gift,3724.0,191923.0,93404.0,6,2025-01,2025-12,0.4550280116428281,False
ticonderoga pencils pre-sharpened,3726.0,115640.0,85475.0,9,2025-01,2025-09,0.04084169325975423,False
best selling boho clothes,3728.0,154026.0,35246.0,5,2025-05,2025-09,,False
valentines shirts for women,3738.0,87909.0,5446.0,3,2025-01,2025-12,,False
water table pump,3751.0,119962.0,16083.0,8,2025-02,2025-09,1.5233000581941896,False
easter bags,3757.0,43645.0,10869.0,3,2025-02,2025-04,,False
hair growth oil spray,3759.0,115801.0,24206.0,9,2025-01,2025-09,2.94889696769396,False
cute summer tops for women,3765.0,163018.0,19540.0,9,2025-01,2025-09,0.5481518873745023,False
as they made us,3782.0,114602.0,56210.5,4,2025-05,2025-08,,False
briza ac,3787.0,21759.0,12773.0,2,2025-06,2025-07,,False
dubai chocolate bar pistachio kit,3804.0,27650.0,5960.5,4,2025-01,2025-04,,False
spring tops for women 2025,3813.0,65278.0,9793.0,5,2025-01,2025-05,,False
fathers day decorations,3824.0,165054.0,11072.0,3,2025-04,2025-06,,False
fourth of july shirts for women,3855.0,56570.0,21890.0,3,2025-05,2025-07,,False
gonggi game,3877.0,57546.0,30711.5,2,2025-01,2025-02,,False
fan hat,3891.0,140999.0,24393.0,6,2025-04,2025-09,3.4748046875,False
4th of july shirts,3900.0,71149.0,25874.0,3,2025-05,2025-07,,False
face mask for cold weather,3912.0,148926.0,30259.0,5,2025-01,2025-12,,False
ginseng essence,3922.0,6388.0,5155.0,2,2025-05,2025-06,,False
easter shirts for women,3923.0,195761.0,23550.0,4,2025-01,2025-04,,False
sing sing,3935.0,103507.0,21991.5,6,2025-01,2025-06,7.474279161205767,False
mother's day gift,3937.0,21444.0,12690.5,2,2025-04,2025-05,,False
christmas vaction,3944.0,111618.0,45878.0,4,2025-01,2025-12,,False
smoothies facial patches,3948.0,172340.0,158961.0,5,2025-02,2025-06,,False
beach chair deals,3956.0,70660.0,8602.0,4,2025-04,2025-07,,False
patio furniture deals,3969.0,82535.0,37593.0,6,2025-03,2025-08,14.9755859375,False
butcher and black bird,3971.0,75773.0,15477.0,7,2025-01,2025-07,3.773849398337675,False
kids valentines day cards,4000.0,10712.0,7356.0,2,2025-01,2025-02,,False
mop and bucket with wringer set for home,4001.0,161132.0,28518.0,3,2025-01,2025-03,,False
book let them by mel robbins,4002.0,102667.0,27572.0,4,2025-01,2025-04,,False
womens rompers for summer,4006.0,114778.0,16975.0,9,2025-01,2025-09,0.44864671088008606,False
coach prime,4026.0,165456.0,61186.0,8,2025-01,2025-08,5.887696552932416,False
rasing kanan,4030.0,110814.0,28396.0,6,2025-01,2025-06,0.3471866400986811,False
grammy,4032.0,193724.0,97916.0,4,2025-02,2025-12,,False
christmas tree bags storage 7.5,4036.0,105055.0,23185.5,4,2025-01,2025-12,,False
christmas ornament storage box,4037.0,182959.0,88157.5,8,2025-01,2025-12,5.336888195257294,False
solar fan hat,4042.0,53029.0,18089.0,5,2025-04,2025-08,,False
the substance 2024,4072.0,180575.0,32282.0,7,2025-01,2025-07,12.19646511627907,False
stingray spot remover,4072.0,189343.0,29052.0,3,2025-06,2025-12,,False
james bond movies prime free,4073.0,7646.0,5147.5,6,2025-01,2025-06,1.5051546391752577,False
calendar 2025 planner,4074.0,38199.0,8102.0,6,2025-01,2025-06,3.0592603377984857,False
the fall risk abby jimenez,4079.0,77430.0,50464.5,4,2025-01,2025-04,,False
easter stickers,4083.0,123860.0,18553.0,4,2025-01,2025-04,,False
egg nog,4105.0,70177.0,38643.5,4,2025-01,2025-12,,False
derby dresses for women 2025,4109.0,188480.0,105746.0,6,2025-03,2025-08,8.684903891233006,False
bet awards 2025,4109.0,156232.0,45241.0,3,2025-06,2025-08,,False
marked men,4114.0,192620.0,60377.0,9,2025-01,2025-09,6.330207674164414,False
elderberry juice,4126.0,193885.0,52443.0,3,2025-01,2025-03,,False
uv resistant artificial outdoor flowers,4138.0,137159.0,61140.0,7,2025-03,2025-09,11.729982387210406,False
first day of school board,4138.0,108536.0,55839.0,5,2025-05,2025-09,,False
2025 desk calendar,4144.0,195875.0,97683.0,7,2025-01,2025-07,4.749452088152928,False
diabetic syringes with needle,4147.0,187807.0,172209.0,9,2025-01,2025-09,0.984987209924882,False
reginald carter,4152.0,16493.0,10322.5,2,2025-05,2025-06,,False
regalos para el dia del padre,4159.0,25881.0,15020.0,2,2025-05,2025-06,,False
usa shirts for women,4161.0,92510.0,21710.0,4,2025-05,2025-09,,False
toddler snow gloves,4195.0,132368.0,21401.0,6,2025-01,2025-12,1.237779055785016,False
4th of july dresses for women,4222.0,74628.0,22873.0,3,2025-05,2025-07,,False
winter dresses for women 2024,4238.0,4238.0,4238.0,1,2025-01,2025-01,,False
valentines day gifts for women bulk,4242.0,34486.0,19364.0,2,2025-01,2025-02,,False
folders for school,4243.0,164992.0,61180.0,7,2025-01,2025-09,0.09030346036648997,False
boys easter basket stuffers,4248.0,196808.0,20042.0,3,2025-02,2025-04,,False
graduation dresses for women 2025,4249.0,198601.0,30790.0,7,2025-02,2025-08,4.2282721461798465,False
lego valentines,4260.0,5087.0,4673.5,2,2025-01,2025-02,,False
devil in the ozarks,4272.0,4651.0,4461.5,2,2025-05,2025-06,,False
nurses week gifts bulk 2025,4279.0,78288.0,5485.0,3,2025-03,2025-05,,False
peppermint bark,4282.0,107570.0,29730.0,5,2025-01,2025-12,,False
tall black planter,4305.0,151787.0,14811.0,3,2025-04,2025-06,,False
valentine sweater for women,4308.0,134476.0,7515.0,3,2025-01,2025-12,,False
heart sweater,4331.0,112382.0,5632.0,3,2025-01,2025-12,,False
luxury women fashion,4341.0,58343.0,27375.0,3,2025-02,2025-04,,False
organic moringa capsules,4343.0,198036.0,138029.0,8,2025-01,2025-09,2.7544620202693886,False
kanan power book 3,4355.0,176179.0,7010.0,5,2025-02,2025-06,,False
easter garland,4357.0,49203.0,12530.0,4,2025-01,2025-04,,False
four christmases,4358.0,193247.0,36568.5,4,2025-01,2025-12,,False
