term,best_rank,worst_rank,median_rank,months_present,first_month,last_month,trend_ratio,is_category,months_on_list
diving rings,71559.0,180492.0,88391.0,3,2025-05,2025-07,,True,2025-05;2025-06;2025-07
mothers day necklaces,71568.0,71568.0,71568.0,1,2025-05,2025-05,,True,2025-05
necklace for girlfriend,71587.0,196956.0,174545.0,3,2025-01,2025-12,,True,2025-01;2025-11;2025-12
hair jewelry for braids,71763.0,191938.0,112940.0,4,2025-07,2025-10,,True,2025-07;2025-08;2025-09;2025-10
coach purse charms,71856.0,197665.0,166918.5,4,2025-07,2025-12,,True,2025-07;2025-09;2025-11;2025-12
graduation necklace,71925.0,71925.0,71925.0,1,2025-05,2025-05,,True,2025-05
tension rings for crocheting,71933.0,181128.0,110311.0,4,2025-01,2025-04,,True,2025-01;2025-02;2025-03;2025-04
pride bracelets,71936.0,169902.0,120919.0,2,2025-05,2025-06,,True,2025-05;2025-06
ardant earrings,72406.0,148580.0,110493.0,2,2025-11,2025-12,,True,2025-11;2025-12
breathe free necklace,72545.0,93986.0,83265.5,2,2025-08,2025-09,,True,2025-08;2025-09
wwjd bracelets for kids,72551.0,136418.0,104484.5,2,2025-03,2025-04,,True,2025-03;2025-04
mosquito bracelets for adults,72573.0,159594.0,101035.5,4,2025-05,2025-08,,True,2025-05;2025-06;2025-07;2025-08
bat necklace,72745.0,141351.0,107048.0,2,2025-09,2025-10,,True,2025-09;2025-10
light up halloween necklace,72835.0,72835.0,72835.0,1,2025-10,2025-10,,True,2025-10
valentine nail charms,72941.0,72941.0,72941.0,1,2025-01,2025-01,,True,2025-01
mom and daughter bracelets,73123.0,191269.0,149705.5,4,2025-08,2025-12,,True,2025-08;2025-09;2025-11;2025-12
jewelry making kit for adults,73145.0,184608.0,141379.0,4,2025-09,2025-12,,True,2025-09;2025-10;2025-11;2025-12
african jewelry for women,73185.0,194486.0,187361.0,3,2025-01,2025-05,,True,2025-01;2025-02;2025-05
mommy and me bracelets,73273.0,123028.0,118344.0,3,2025-08,2025-12,,True,2025-08;2025-09;2025-12
backless earrings for women,73289.0,188838.0,96345.0,3,2025-09,2025-12,,True,2025-09;2025-11;2025-12
christmas brooches for women,73555.0,114442.0,93998.5,2,2025-11,2025-12,,True,2025-11;2025-12
baseball bracelets for boys,73569.0,141066.0,117042.5,4,2025-03,2025-06,,True,2025-03;2025-04;2025-05;2025-06
fourth of july earrings for women,73693.0,73693.0,73693.0,1,2025-06,2025-06,,True,2025-06
paper chain garland,73705.0,98936.0,86320.5,2,2025-11,2025-12,,True,2025-11;2025-12
necklace fan,73779.0,170509.0,116061.5,4,2025-05,2025-08,,True,2025-05;2025-06;2025-07;2025-08
little girl jewelry box,73790.0,194473.0,129998.0,4,2025-09,2025-12,,True,2025-09;2025-10;2025-11;2025-12
book buddies slap bracelets,73972.0,184803.0,151627.0,3,2025-01,2025-10,,True,2025-01;2025-09;2025-10
ice neck ring,74074.0,105655.0,89864.5,2,2025-06,2025-07,,True,2025-06;2025-07
blood necklace,74076.0,191091.0,132583.5,2,2025-09,2025-10,,True,2025-09;2025-10
girls necklaces ages 8 12,74418.0,185888.0,125929.0,3,2025-04,2025-12,,True,2025-04;2025-11;2025-12
phiten necklace,74498.0,190665.0,132581.5,2,2025-03,2025-04,,True,2025-03;2025-04
gold head chain,74606.0,74606.0,74606.0,1,2025-10,2025-10,,True,2025-10
oxidized indian jewelry set,74657.0,74657.0,74657.0,1,2025-09,2025-09,,True,2025-09
clown collar and cuffs,74771.0,74771.0,74771.0,1,2025-10,2025-10,,True,2025-10
backpack charms for girls,74889.0,131847.0,103368.0,2,2025-07,2025-08,,True,2025-07;2025-08
travel jewelry case small,74914.0,166780.0,115678.0,4,2025-09,2025-12,,True,2025-09;2025-10;2025-11;2025-12
name necklace for girls,75037.0,129555.0,102296.0,2,2025-11,2025-12,,True,2025-11;2025-12
vampire choker,75321.0,75321.0,75321.0,1,2025-10,2025-10,,True,2025-10
spider earrings for women,75382.0,75382.0,75382.0,1,2025-10,2025-10,,True,2025-10
bull ring,75490.0,81746.0,78618.0,2,2025-10,2025-11,,True,2025-10;2025-11
pandora charms mothers day,75589.0,75589.0,75589.0,1,2025-05,2025-05,,True,2025-05
2025 fantasy football ring,75611.0,118730.0,97170.5,2,2025-08,2025-12,,True,2025-08;2025-12
gold hair jewelry,76109.0,76109.0,76109.0,1,2025-10,2025-10,,True,2025-10
little girls jewelry,76306.0,185888.0,118097.0,3,2025-04,2025-12,,True,2025-04;2025-11;2025-12
charm bracelets for girls,76674.0,144778.0,110726.0,2,2025-11,2025-12,,True,2025-11;2025-12
taylor swift friendship bracelets,76707.0,128868.0,102787.5,2,2025-09,2025-10,,True,2025-09;2025-10
oreylo earrings hook,76772.0,191938.0,96227.0,4,2025-07,2025-12,,True,2025-07;2025-10;2025-11;2025-12
black onyx bracelet,76821.0,190802.0,133811.5,2,2025-03,2025-12,,True,2025-03;2025-12
silicone rings women wedding bands,77062.0,162704.0,119883.0,2,2025-01,2025-02,,True,2025-01;2025-02
taylor swift engagement ring,77098.0,77098.0,77098.0,1,2025-12,2025-12,,True,2025-12
jewelry for girls 8-12,77174.0,193190.0,169044.0,4,2025-03,2025-12,,True,2025-03;2025-04;2025-11;2025-12
ultrasonic jewelry cleaner machine,77221.0,77221.0,77221.0,1,2025-06,2025-06,,True,2025-06
fake gold chains,77504.0,77504.0,77504.0,1,2025-10,2025-10,,True,2025-10
wrestling ring,77661.0,111390.0,94525.5,2,2025-11,2025-12,,True,2025-11;2025-12
glow necklaces bulk,77860.0,146949.0,112404.5,2,2025-09,2025-10,,True,2025-09;2025-10
neck ice ring,77968.0,199787.0,113589.0,3,2025-05,2025-07,,True,2025-05;2025-06;2025-07
christmas earrings for girls,78160.0,98647.0,88403.5,2,2025-11,2025-12,,True,2025-11;2025-12
earring gift box,78179.0,178934.0,128556.5,2,2025-11,2025-12,,True,2025-11;2025-12
baublebar bracelets,78213.0,174457.0,140558.0,4,2025-05,2025-12,,True,2025-05;2025-07;2025-11;2025-12
spider rings for kids,78782.0,78782.0,78782.0,1,2025-10,2025-10,,True,2025-10
prom necklace,79152.0,160734.0,119943.0,2,2025-04,2025-05,,True,2025-04;2025-05
make it real purr-fect wash 'n bead bracelets,79177.0,193072.0,102412.0,3,2025-10,2025-12,,True,2025-10;2025-11;2025-12
gold earrings dangle,79250.0,127916.0,104633.5,4,2025-09,2025-12,,True,2025-09;2025-10;2025-11;2025-12
vibrating cock rings,79289.0,199221.0,148307.5,4,2025-02,2025-08,,True,2025-02;2025-05;2025-06;2025-08
40 pound bag of lucky charms marshmallows,79451.0,79451.0,79451.0,1,2025-03,2025-03,,True,2025-03
halloween necklace light up,79468.0,79468.0,79468.0,1,2025-10,2025-10,,True,2025-10
baseball necklace for boys 8-12,79585.0,127082.0,111216.0,4,2025-03,2025-06,,True,2025-03;2025-04;2025-05;2025-06
birthstones chart,79669.0,148858.0,114263.5,2,2025-11,2025-12,,True,2025-11;2025-12
the seven rings,79761.0,169290.0,124525.5,2,2025-11,2025-12,,True,2025-11;2025-12
cat ring holder,79966.0,108045.0,94005.5,2,2025-11,2025-12,,True,2025-11;2025-12
gold jewelry for prom,80006.0,165533.0,122769.5,2,2025-04,2025-05,,True,2025-04;2025-05
star of david necklace,80131.0,151878.0,133545.0,4,2025-09,2025-12,,True,2025-09;2025-10;2025-11;2025-12
birthstone jewelry,80361.0,158378.0,119369.5,2,2025-11,2025-12,,True,2025-11;2025-12
sorority rush jewelry,80449.0,80449.0,80449.0,1,2025-08,2025-08,,True,2025-08
musical jewelry box for girls,80486.0,197512.0,99934.0,3,2025-10,2025-12,,True,2025-10;2025-11;2025-12
ysl bracelet for women,80643.0,121430.0,83954.0,3,2025-01,2025-03,,True,2025-01;2025-02;2025-03
inserts for rings that are too big,80856.0,130022.0,83654.0,3,2025-10,2025-12,,True,2025-10;2025-11;2025-12
valentines day jewelry,80860.0,118172.0,99516.0,2,2025-01,2025-02,,True,2025-01;2025-02
red white and blue earrings,80980.0,80980.0,80980.0,1,2025-06,2025-06,,True,2025-06
silver jewelry for prom,80994.0,142701.0,111847.5,2,2025-04,2025-05,,True,2025-04;2025-05
boys necklace ages 8-12,81075.0,180590.0,146711.5,4,2025-04,2025-12,,True,2025-04;2025-08;2025-11;2025-12
cool bracelet maker,81138.0,81138.0,81138.0,1,2025-08,2025-08,,True,2025-08
valentines bracelets,81211.0,119693.0,100452.0,2,2025-01,2025-02,,True,2025-01;2025-02
tulip ring,81364.0,81364.0,81364.0,1,2025-01,2025-01,,True,2025-01
grandma bracelet,81527.0,110576.0,96051.5,2,2025-05,2025-12,,True,2025-05;2025-12
cool maker stack'd heishi bracelet studio,81654.0,169779.0,168217.0,3,2025-10,2025-12,,True,2025-10;2025-11;2025-12
carrie bradshaw inspired jewelry,81760.0,189113.0,107650.0,3,2025-07,2025-09,,True,2025-07;2025-08;2025-09
christmas tree earrings for women,81806.0,170386.0,126096.0,2,2025-11,2025-12,,True,2025-11;2025-12
prom jewelry gold,81960.0,186572.0,174554.0,3,2025-03,2025-05,,True,2025-03;2025-04;2025-05
"instastrike extreme 28,000,000 suptruck knuckle stun ring",82019.0,182505.0,159166.0,3,2025-04,2025-06,,True,2025-04;2025-05;2025-06
in ground basketball hoops outdoor,82020.0,143957.0,105168.0,3,2025-03,2025-05,,True,2025-03;2025-04;2025-05
pearl body chain,82646.0,82646.0,82646.0,1,2025-10,2025-10,,True,2025-10
skull earrings,82646.0,192748.0,134293.0,3,2025-08,2025-10,,True,2025-08;2025-09;2025-10
jewelry for mom,83009.0,175970.0,129489.5,2,2025-05,2025-12,,True,2025-05;2025-12
jewelry cleaner ultrasonic,83355.0,171145.0,134033.0,3,2025-03,2025-12,,True,2025-03;2025-11;2025-12
dior ring,83496.0,152930.0,131421.0,3,2025-01,2025-03,,True,2025-01;2025-02;2025-03
breast cancer earrings,83562.0,190107.0,136834.5,2,2025-09,2025-10,,True,2025-09;2025-10
snake jewelry,83790.0,195208.0,175139.0,3,2025-01,2025-10,,True,2025-01;2025-09;2025-10
amethyst jewelry,83888.0,83888.0,83888.0,1,2025-02,2025-02,,True,2025-02
earrings for teen girls,83899.0,144365.0,114132.0,2,2025-11,2025-12,,True,2025-11;2025-12
stranger things jewelry,84275.0,84275.0,84275.0,1,2025-12,2025-12,,True,2025-12
hair tie bracelets,84357.0,137744.0,111050.5,2,2025-11,2025-12,,True,2025-11;2025-12
boys cross necklace ages 8-12,84760.0,174179.0,110267.0,4,2025-03,2025-12,,True,2025-03;2025-04;2025-11;2025-12
light up necklace,85090.0,187004.0,121917.0,3,2025-10,2025-12,,True,2025-10;2025-11;2025-12
waterproof anklets for women,85119.0,162065.0,120640.0,4,2025-04,2025-07,,True,2025-04;2025-05;2025-06;2025-07
long pearl necklace,85616.0,151483.0,118549.5,2,2025-09,2025-10,,True,2025-09;2025-10
pavoi necklaces,85663.0,95439.0,91389.0,3,2025-01,2025-03,,True,2025-01;2025-02;2025-03
advent calendar jewelry,86048.0,86048.0,86048.0,1,2025-11,2025-11,,True,2025-11
pretty rings and broken things,86289.0,172127.0,120152.5,4,2025-01,2025-04,,True,2025-01;2025-02;2025-03;2025-04
heart hoop earrings,86371.0,106418.0,96394.5,2,2025-01,2025-02,,True,2025-01;2025-02
mother daughter jewelry,86437.0,86437.0,86437.0,1,2025-12,2025-12,,True,2025-12
new years earrings for women,86544.0,86544.0,86544.0,1,2025-12,2025-12,,True,2025-12
bone necklace,86707.0,86707.0,86707.0,1,2025-10,2025-10,,True,2025-10
halloween bracelet making kit,86756.0,133810.0,110283.0,2,2025-09,2025-10,,True,2025-09;2025-10
4th of july jewelry for women,86862.0,86862.0,86862.0,1,2025-06,2025-06,,True,2025-06
halloween slap bracelets bulk,86866.0,86866.0,86866.0,1,2025-10,2025-10,,True,2025-10
opal jewelry,87213.0,151661.0,129437.5,4,2025-09,2025-12,,True,2025-09;2025-10;2025-11;2025-12
granddaughter necklace,87308.0,115260.0,101284.0,2,2025-11,2025-12,,True,2025-11;2025-12
halloween led rings for kids,87342.0,129527.0,108434.5,2,2025-09,2025-10,,True,2025-09;2025-10
wishbone necklace,87484.0,192629.0,137679.0,3,2025-08,2025-12,,True,2025-08;2025-09;2025-12
mens cross bracelet,87880.0,164009.0,142278.0,4,2025-04,2025-12,,True,2025-04;2025-09;2025-11;2025-12
pavoi rings for women,87934.0,166681.0,123540.0,3,2025-01,2025-03,,True,2025-01;2025-02;2025-03
poison ring,88051.0,192748.0,174264.0,3,2025-06,2025-10,,True,2025-06;2025-08;2025-10
boys bracelets,88054.0,153383.0,120718.5,2,2025-11,2025-12,,True,2025-11;2025-12
hair jewelry for girls,88131.0,175477.0,90720.0,3,2025-10,2025-12,,True,2025-10;2025-11;2025-12
fake pearl necklace,88446.0,88446.0,88446.0,1,2025-10,2025-10,,True,2025-10
christmas earrings studs,88555.0,122640.0,105597.5,2,2025-11,2025-12,,True,2025-11;2025-12
bug bracelets repellent kids,88602.0,182650.0,118454.0,3,2025-05,2025-07,,True,2025-05;2025-06;2025-07
pearl waist chain,88696.0,88696.0,88696.0,1,2025-10,2025-10,,True,2025-10
ankle bracelets for women waterproof,88716.0,151603.0,104840.0,4,2025-04,2025-07,,True,2025-04;2025-05;2025-06;2025-07
christmas earrings bulk,88737.0,102302.0,95519.5,2,2025-11,2025-12,,True,2025-11;2025-12
baublebar necklace,88823.0,139443.0,97728.0,3,2025-07,2025-12,,True,2025-07;2025-11;2025-12
white gold necklace,88855.0,192190.0,142390.5,4,2025-09,2025-12,,True,2025-09;2025-10;2025-11;2025-12
snowman earrings,88993.0,191917.0,140455.0,2,2025-11,2025-12,,True,2025-11;2025-12
summer bracelets,89041.0,137593.0,112495.0,4,2025-03,2025-06,,True,2025-03;2025-04;2025-05;2025-06
wwe money in the bank ring,89053.0,145887.0,115810.0,3,2025-10,2025-12,,True,2025-10;2025-11;2025-12
sister necklace,89083.0,89083.0,89083.0,1,2025-12,2025-12,,True,2025-12
hemios hematite bracelet,89261.0,186777.0,185217.0,3,2025-08,2025-10,,True,2025-08;2025-09;2025-10
pink christmas earrings,89419.0,139912.0,114665.5,2,2025-11,2025-12,,True,2025-11;2025-12
cleopatra necklace,89420.0,89420.0,89420.0,1,2025-10,2025-10,,True,2025-10
christmas tree lights with ring,89426.0,89426.0,89426.0,1,2025-11,2025-11,,True,2025-11
wicked jewelry,89454.0,143581.0,116517.5,2,2025-11,2025-12,,True,2025-11;2025-12
halloween chains,89487.0,144153.0,116820.0,2,2025-09,2025-10,,True,2025-09;2025-10
football necklace,89580.0,157648.0,108329.0,3,2025-08,2025-10,,True,2025-08;2025-09;2025-10
rings for index cards,89698.0,147387.0,92243.0,3,2025-08,2025-10,,True,2025-08;2025-09;2025-10
fairy ear cuffs,89780.0,187733.0,138756.5,2,2025-09,2025-10,,True,2025-09;2025-10
casio ring watch,89830.0,89830.0,89830.0,1,2025-01,2025-01,,True,2025-01
rainbow loom wrapit loom bracelet maker,89992.0,133814.0,111903.0,2,2025-10,2025-11,,True,2025-10;2025-11
rings of fate,90093.0,90093.0,90093.0,1,2025-12,2025-12,,True,2025-12
stun ring,90251.0,169052.0,139032.0,3,2025-01,2025-03,,True,2025-01;2025-02;2025-03
bunny earrings,90354.0,143922.0,117138.0,2,2025-03,2025-04,,True,2025-03;2025-04
witches knot ring,90662.0,90662.0,90662.0,1,2025-12,2025-12,,True,2025-12
cape cod bracelet,90675.0,172899.0,102413.0,4,2025-06,2025-12,,True,2025-06;2025-07;2025-08;2025-12
napkin rings set of 8,90741.0,121390.0,106065.5,2,2025-11,2025-12,,True,2025-11;2025-12
ring sizer for women,90799.0,113390.0,102094.5,2,2025-01,2025-02,,True,2025-01;2025-02
fahlo bracelet,90942.0,113819.0,102380.5,2,2025-11,2025-12,,True,2025-11;2025-12
peridot necklace,91068.0,155123.0,127818.0,3,2025-07,2025-12,,True,2025-07;2025-08;2025-12
opalite ring,91089.0,91089.0,91089.0,1,2025-10,2025-10,,True,2025-10
kendra scott necklaces,91091.0,197328.0,143716.5,4,2025-09,2025-12,,True,2025-09;2025-10;2025-11;2025-12
cinco de mayo earrings for women,91463.0,91463.0,91463.0,1,2025-04,2025-04,,True,2025-04
first day of school bracelet,91576.0,91576.0,91576.0,1,2025-08,2025-08,,True,2025-08
halloween nose ring,91584.0,191778.0,111012.0,3,2025-08,2025-10,,True,2025-08;2025-09;2025-10
fish necklace,91608.0,134918.0,123801.0,3,2025-06,2025-08,,True,2025-06;2025-07;2025-08
necklace box gift,91611.0,163750.0,127680.5,2,2025-11,2025-12,,True,2025-11;2025-12
to my son bracelet from dad,91774.0,199681.0,130932.0,3,2025-02,2025-12,,True,2025-02;2025-03;2025-12
march birthstone jewelry,91824.0,91824.0,91824.0,1,2025-03,2025-03,,True,2025-03
garnet jewelry,92055.0,185776.0,138915.5,2,2025-01,2025-12,,True,2025-01;2025-12
kendra scott elisa pendant necklace,92154.0,111390.0,101772.0,2,2025-11,2025-12,,True,2025-11;2025-12
wine charms for stem glasses,92246.0,195055.0,130568.0,3,2025-01,2025-12,,True,2025-01;2025-11;2025-12
mardi gras beads necklaces,92375.0,92375.0,92375.0,1,2025-02,2025-02,,True,2025-02
girls' charm bracelets,92549.0,144652.0,118600.5,2,2025-11,2025-12,,True,2025-11;2025-12
snowflake necklace for women,92660.0,187900.0,140280.0,2,2025-11,2025-12,,True,2025-11;2025-12
sunflower necklaces for women,92798.0,191923.0,151965.0,3,2025-02,2025-05,,True,2025-02;2025-04;2025-05
pride earrings for women,92819.0,92819.0,92819.0,1,2025-06,2025-06,,True,2025-06
carnelian ring,92982.0,167608.0,119189.0,3,2025-01,2025-03,,True,2025-01;2025-02;2025-03
mom bracelets for women,93536.0,156700.0,125118.0,2,2025-05,2025-12,,True,2025-05;2025-12
eagles superbowl ring,93783.0,155661.0,124722.0,2,2025-02,2025-07,,True,2025-02;2025-07
birthday bracelets for classroom,93814.0,185249.0,109797.0,3,2025-06,2025-08,,True,2025-06;2025-07;2025-08
vayro ring original magnetic wellness ring,93836.0,166912.0,133382.0,4,2025-09,2025-12,,True,2025-09;2025-10;2025-11;2025-12
horse necklace,93973.0,195691.0,145219.0,3,2025-04,2025-12,,True,2025-04;2025-11;2025-12
women's body piercing jewelry,94133.0,156083.0,140403.0,4,2025-09,2025-12,,True,2025-09;2025-10;2025-11;2025-12
sock charms,94219.0,164541.0,161039.0,3,2025-07,2025-09,,True,2025-07;2025-08;2025-09
mothers day jewelry for mom,94225.0,94225.0,94225.0,1,2025-05,2025-05,,True,2025-05
necklaces for girls,94240.0,120702.0,107471.0,2,2025-11,2025-12,,True,2025-11;2025-12
o block chain,94253.0,148013.0,122483.0,3,2025-04,2025-06,,True,2025-04;2025-05;2025-06
feraco copper bracelet for men,94334.0,130022.0,112547.0,3,2025-08,2025-10,,True,2025-08;2025-09;2025-10
grandson bracelet,94489.0,142134.0,118311.5,2,2025-11,2025-12,,True,2025-11;2025-12
halloween earrings for girls,94551.0,153451.0,124001.0,2,2025-09,2025-10,,True,2025-09;2025-10
sneaker charms,94663.0,199809.0,169662.0,4,2025-02,2025-09,,True,2025-02;2025-07;2025-08;2025-09
big gold chain,94829.0,94829.0,94829.0,1,2025-10,2025-10,,True,2025-10
st patricks day necklace,94886.0,154220.0,124553.0,2,2025-02,2025-03,,True,2025-02;2025-03
lynsie charm bookmark pen holder,95207.0,141060.0,119371.0,3,2025-10,2025-12,,True,2025-10;2025-11;2025-12
beaded anklets for women,95223.0,135076.0,131659.0,3,2025-05,2025-07,,True,2025-05;2025-06;2025-07
tiffany+&+co+jewelry,95277.0,95277.0,95277.0,1,2025-07,2025-07,,True,2025-07
pavoi pinky ring,95306.0,95306.0,95306.0,1,2025-06,2025-06,,True,2025-06
halloween glow rings,95460.0,142284.0,118872.0,2,2025-09,2025-10,,True,2025-09;2025-10
holy water bracelet,95521.0,187773.0,184187.5,4,2025-04,2025-12,,True,2025-04;2025-05;2025-09;2025-12
weighted bracelet for men,95642.0,167631.0,131636.5,2,2025-05,2025-06,,True,2025-05;2025-06
pirate waist chain,95703.0,95703.0,95703.0,1,2025-10,2025-10,,True,2025-10
christmas bracelet,95838.0,129342.0,112590.0,2,2025-11,2025-12,,True,2025-11;2025-12
silver bow earrings,96043.0,162485.0,140618.0,4,2025-01,2025-12,,True,2025-01;2025-02;2025-11;2025-12
birth stone necklace women,96140.0,172809.0,170760.0,3,2025-05,2025-12,,True,2025-05;2025-11;2025-12
christmas slap bracelets,96502.0,178832.0,137667.0,2,2025-11,2025-12,,True,2025-11;2025-12
christmas tree waterfall lights with ring,96584.0,190409.0,143496.5,2,2025-10,2025-11,,True,2025-10;2025-11
christmas croc charms,96605.0,160782.0,128693.5,2,2025-11,2025-12,,True,2025-11;2025-12
basketball necklace,96691.0,174489.0,137580.5,4,2025-01,2025-12,,True,2025-01;2025-02;2025-11;2025-12
hug ring for granddaughter,96770.0,189456.0,129925.0,3,2025-10,2025-12,,True,2025-10;2025-11;2025-12
mini jewelry travel pouch,96834.0,120745.0,108789.5,2,2025-11,2025-12,,True,2025-11;2025-12
pink jewelry sets for women,96943.0,177302.0,150697.5,4,2025-03,2025-06,,True,2025-03;2025-04;2025-05;2025-06
summer jewelry for women 2025,96972.0,197398.0,131833.0,3,2025-05,2025-07,,True,2025-05;2025-06;2025-07
easter bracelets for kids,97052.0,97052.0,97052.0,1,2025-04,2025-04,,True,2025-04
personalized jewelry box,97249.0,199470.0,105827.0,3,2025-05,2025-12,,True,2025-05;2025-11;2025-12
tooth necklace,97332.0,97332.0,97332.0,1,2025-10,2025-10,,True,2025-10
mardi gras jewelry for women,97397.0,97397.0,97397.0,1,2025-02,2025-02,,True,2025-02
ring bundle,97577.0,177671.0,143086.5,4,2025-06,2025-11,,True,2025-06;2025-07;2025-10;2025-11
mistletoe belly ring,97616.0,141414.0,119515.0,2,2025-11,2025-12,,True,2025-11;2025-12
kids jewelry making kit,97662.0,125656.0,111659.0,2,2025-11,2025-12,,True,2025-11;2025-12
boot cuffs,98047.0,131806.0,106284.0,3,2025-10,2025-12,,True,2025-10;2025-11;2025-12
toddler jewelry box,98081.0,103821.0,100951.0,2,2025-11,2025-12,,True,2025-11;2025-12
st patricks day bracelets,98111.0,98111.0,98111.0,1,2025-03,2025-03,,True,2025-03
bow necklace gold,98284.0,134836.0,116560.0,2,2025-11,2025-12,,True,2025-11;2025-12
charms for shoes,98288.0,156295.0,127291.5,2,2025-07,2025-08,,True,2025-07;2025-08
christmas pins and brooches,98338.0,156166.0,127252.0,2,2025-11,2025-12,,True,2025-11;2025-12
40lb bag of lucky charms marshmallows,98358.0,98358.0,98358.0,1,2025-03,2025-03,,True,2025-03
eagles chain,98622.0,137441.0,118031.5,2,2025-01,2025-02,,True,2025-01;2025-02
zox bracelets,98882.0,98882.0,98882.0,1,2025-12,2025-12,,True,2025-12
pink jewelry box,98962.0,182347.0,138410.0,3,2025-01,2025-12,,True,2025-01;2025-11;2025-12
ring stopper for loose rings,98962.0,194321.0,134530.0,3,2025-10,2025-12,,True,2025-10;2025-11;2025-12
gorjana jewelry,99236.0,186889.0,143062.5,2,2025-11,2025-12,,True,2025-11;2025-12
girls cross necklace,99236.0,137124.0,118598.0,3,2025-04,2025-12,,True,2025-04;2025-11;2025-12
katherine pierce necklace,99260.0,99260.0,99260.0,1,2025-10,2025-10,,True,2025-10
